Title,,GMD,,,,Publisher,,,Type of book,Call #,?,Publishing city,Call #,?,?,?,Author,Category,Item
Aku Bisa! Aku Siap! Untuk SD/MI Kls III, III,Text,,,,Erlangga,2009,,Seri Buku Soal,370.76,,Jakarta,370.76,,,,<Bambang Sutejo >,<Buku Pelajaran>,<T703300>
Aku Bisa! Aku Siap! Untuk SD/MI Kls V,ls V,Text,,,,Erlangga,2009,,Seri Buku Soal,370.76,,Jakarta,370.76,,,,<Bambang Sutejo >,<Buku Pelajaran>,<T703301>
Aku dan Anakku,akku,Text,,,,Elex Media Komputindo,2009,,Hide & Seek,153.1,,Jakarta,153.1,,,,<Efik><Dian >,<Cerita Anak>,<T703696>
Aku dan Morgan,rgan,Text,,,,Alice Saputra Communications Co.,1996,,Seri Serendipity,823,,Bogor,823,,,,<Stephen Cosgrove>,<Cerita Anak>,<T701670>
Aku Ingin Menjadi Diplomat,omat,Text,,,,Erlangga,2008,,Seri Pengenalan Profesi,610.69,,Jakarta,610.69,,,,<Niquen Hananti>,<Pengetahuan Anak>,<T701620>
Aku Ingin Menjadi Dokter,kter,Text,,,,Erlangga,2007,,Seri Pengenalan Profesi,823,,Jakarta,823,,,,<Lusiana Rumintang>,<Pengetahuan Anak>,<T701622>
Aku Ingin Menjadi Insinyur Pertambangan,ngan,Text,,,,Erlangga Group,2007,,Seri Pengenalan Profesi,622.3,,Jakarta,622.3,,,,<Niquen Hananti>,<Pengetahuan Anak>,<T700955>
Aku Ingin Menjadi Insinyur Pertambangan - c2,#VALUE!,Text,,,,Erlangga Group,2007,,Seri Pengenalan Profesi,622.3,,Jakarta,622.3,,,,<Niquen Hananti>,<Pengetahuan Anak>,<T700956>
Aku Ingin Menjadi Insinyur Pertambangan - c3,#VALUE!,Text,,,,Erlangga Group,2007,,Seri Pengenalan Profesi,622.3,,Jakarta,622.3,,,,<Niquen Hananti>,<Pengetahuan Anak>,<T700957>
Aku Ingin Menjadi Insinyur Pertambangan - c4,#VALUE!,Text,,,,Erlangga Group,2007,,Seri Pengenalan Profesi,622.3,,Jakarta,622.3,,,,<Niquen Hananti>,<Pengetahuan Anak>,<T700958>
Aku Ingin Menjadi Insinyur Pertambangan - c5,#VALUE!,Text,,,,Erlangga Group,2007,,Seri Pengenalan Profesi,622.3,,Jakarta,622.3,,,,<Niquen Hananti>,<Pengetahuan Anak>,<T700959>
Aku Ingin Menjadi Pengacara,cara,Text,,,,Erlangga,2007,,Seri Pengenalan Profesi,353.1,,Jakarta,353.1,,,,<Lusiana Rumintang>,<Pengetahuan Anak>,<T701619>
Aku Ingin Menjadi Perawat,awat,Text,,,,Erlangga,2007,,Seri Pengenalan Profesi,610.69,,Jakarta,610.69,,,,<Irrebela Siswondo>,<Pengetahuan Anak>,<T701621>
Aku Ingin Punya Rumah,umah,Text,,,,Bhuana Ilmu Populer,2007,,Bilingual Book,813,,Jakarta,813,,,,<Meidya Derni>,<Cerita Anak>,<T700436>
Aku Ingin Punya Rumah  - c2,#VALUE!,Text,,,,Bhuana Ilmu Populer,2007,,Bilingual Book,813,,Jakarta,813,,,,<Meidya Derni >,<Cerita Anak>,<T704289>
Aku Ingin Punya Teman,eman,Text,,,,Bhuana Ilmu Populer,2007,,Bilingual Book,813,,Jakarta,813,,,,<Meidya Derni>,<Cerita Anak>,<T700439>
Aku Ingin Punya Teman,eman,Text,,,,Bhuana Ilmu Populer,2007,,Bilingual Book,813,,Jakarta,813,,,,<Meidya Derni>,<Cerita Anak>,<T702690>
Aku Ingin Tahu #1,u #1,Text,,,,Quality Press,1997,,Jawaban Bagi Ratusan Pertanyaan yang diajukan Anak-anak,121,,Jakarta,121,,,,<Arkady Leokum>,<Pengetahuan Dewasa>,<T701720>
Aku Ingin Tahu #2,u #2,Text,,,,Quality Press,1997,,Jawaban Bagi Ratusan Pertanyaan yang diajukan Anak-anak,121,,Jakarta,121,,,,<Arkady Leokum>,<Pengetahuan Dewasa>,<T701721>
Aku Ingin Tahu #3,u #3,Text,,,,Quality Press,1997,,Jawaban Bagi Ratusan Pertanyaan yang diajukan Anak-anak,121,,Jakarta,121,,,,<Arkady Leokum>,<Pengetahuan Dewasa>,<T701722>
Aku Ingin Tahu #4,u #4,Text,,,,Quality Press,1997,,Jawaban Bagi Ratusan Pertanyaan yang diajukan Anak-anak,121,,Jakarta,121,,,,<Arkady Leokum>,<Pengetahuan Dewasa>,<T701723>
Aku Ingin Tahu Mengapa,gapa,Text,,,,Quality Press,,,Aku Ingin Tahu Mengapa,572,,,572,,,,<Alexander Sindoro>,<Pengetahuan Dewasa>,<T700277>
Aku Inilah,ilah,Text,,,,Yayasan Komunikasi Bina Kasih,2000,,Alkitab Bergambar untuk Semua Umur,226,,Jakarta,226,,,,<H A Oppusunggu >,<Buku Rohani>,<T703900>
Aku Mau Antre,ntre,Text,,,,PT. Senama Sejahtera Utama,-,,Seri Karakter,,,Bekasi Barat,,,,,<Reny Novita >,<Pengetahuan Anak>,<T704958>
Aku Mau Berbagi,bagi,Text,,,,PT. Senama Sejahtera Utama,-,,Seri Karakter,,,Bekasi Barat,,,,,<Reny Novita >,<Pengetahuan Anak>,<T704960>
Aku Mau Gosok Gigi,Gigi,Text,,,,PT. Senama Sejahtera Utama,-,,Seri Karakter,,,Bekasi Barat,,,,,<Reny Novita >,<Pengetahuan Anak>,<T704957>
Aku Mau Makan Sayur,ayur,Text,,,,PT. Senama Sejahtera Utama,-,,Seri Karakter,,,Bekasi Barat,,,,,<Reny Novita >,<Pengetahuan Anak>,<T704956>
Aku Mau Mandi,andi,Text,,,,PT. Senama Sejahtera Utama,-,,Seri Karakter,,,Bekasi Barat,,,,,<Reny Novita >,<Pengetahuan Anak>,<T704959>
Aku Menyertai Kamu,Kamu,Text,,,,Yayasan Komunikasi Bina Kasih,2001,,Alkitab Bergambar untuk Semua Umur,226,,Jakarta,226,,,,<H A Oppusunggu >,<Buku Rohani>,<T703901>
Aku Menyertai Kamu - c2,#VALUE!,Text,,,,Yayasan Komunikasi Bina Kasih,2001,,Alkitab Bergambar untuk Semua Umur,226,,Jakarta,226,,,,<H A Oppusunggu >,<Buku Rohani>,<T703902>
Aku Pasti Sukses,kses,Text,,,,Sucaco,2008,,Seri Karakter Supreme,153.8,,Jakarta,153.8,,,,<Elly Soepono >,<Cerita Anak>,<T704326>
Aku Pernah Mati,Mati,Text,,,,BPK Gunung Mulia,1997,,Kesaksian,248,,Jakarta,248,,,,<G G Ritchie>,<Buku Rohani>,<T703892>
Aku Siap! Aku Bisa! SD Kelas II,s II,Text,,,,Erlangga,,,Buku Pelajaran,370.76,,Jakarta,370.76,,,,<Bambang Sutejo>,<Buku Pelajaran>,<T702649>
Aku Siap! Aku Bisa! SD Kelas III, III,Text,,,,Erlangga,,,Buku Pelajaran,370.76,,Jakarta,370.76,,,,<Bambang Sutejo>,<Buku Pelajaran>,<T702606>
Aku Siap! Aku Bisa! SD Kelas IV,s IV,Text,,,,Erlangga,,,Buku Pelajaran,370.76,,Jakarta,370.76,,,,<Bambang Sutejo>,<Buku Pelajaran>,<T702607>
Aku Tidak Tidur Sembarangan,ngan,Text,,,,Dar! Mizan,,,Cerita Balita,813,,Bandung,813,,,,<Dadan Ramadhan >,<Cerita Anak>,<T704158>
Akulah Kadonya,onya,Text,,,,Gramedia Pustaka Umum,2008,,Fun Touch Teachs,813,,Jakarta,813,,,,<Moony>,<Cerita Anak>,<T701546>
Al's Sky-High Adventure,ture,Text,,,,Gramedia Pustaka Utama,2009,,Disney Pixar,823,,Jakarta,823,,,,<Luke Paulson >,<Cerita Anak>,<T704561>
Aladdin,ddin,Text,,,,Pelangi Sdn. Bhd.,,,Pelangi's Little Book Series,823,,Malaysia,823,,,,<Nuora Edibimbi>,<Cerita Anak>,<T701949>
Aladdin,ddin,Text,,,,Gramedia Pustaka Utama,2011,,The Magical Story of the Movie,823,,Jakarta,823,,,,<Tim Penulis >,<Cerita Anak>,<T704687>
"Aladdin, Gua Keajaiban",iban,Text,,,,Gramedia Pustaka Utama,2007,,Seri Pustaka Awal,823,,Jakarta,823,,,,<Ann Braybrooks>,<Cerita Anak>,<T702747>
Aladin,adin,Text,,,,Gramedia Pustaka Utama,,,Seri Pustaka Kecil,823,,,823,,,,<Karen Kreider>,<Cerita Anak>,<T700059>
Aladin,adin,Text,,,,Gramedia Pustaka Utama,2000,,Seri Pustaka Kecil,823,,Jakarta,823,,,,<Karen Kreider>,<Cerita Anak>,<T702937>
Aladin,adin,Text,,,,Gramedia Pustaka Utama,1999,,Seri Pustaka Kecil,823,,Jakarta,823,,,,<Karen Kreider>,<Cerita Anak>,<T702938>
Aladin dan Lampu Ajaib,jaib,Text,,,,Elex Media Komputindo,1992,,Buku Dongeng Anak-Anak Bergambar,892.7,,Jakarta,892.7,,,,<Shogo Hirata>,<Cerita Anak>,<T701830>
Alam & Margasatwa  Amerika Utara,tara,Text,,,,Tira Pustaka,1981,,Pustaka Alam - Life,523.17,,Jakarta,523.17,,,,<Peter Farb>,<Pengetahuan Dewasa>,<T701760>
Alam dan Margasatwa Afrika,rika,Text,,,,Tira Pustaka,1984,,Pustaka Alam - Life,523.16,,Jakarta,523.16,,,,<Archie Carr>,<Pengetahuan Dewasa>,<T701758>
Alam dan Margasatwa Amerika Selatan,atan,Text,,,,Tira Pustaka,1985,,Pustaka Alam - Life,523.18,,Jakarta,523.18,,,,<Marston Bates>,<Pengetahuan Dewasa>,<T701751>
Alam dan Margasatwa Asia Tropik,opik,Text,,,,Tira Pustaka,1983,,Pustaka Alam - Life,523.15,,Jakarta,523.15,,,,<S. Dilon Ripley>,<Pengetahuan Dewasa>,<T701766>
Alam dan Margasatwa Australasia,asia,Text,,,,Tira Pustaka,1983,,Pustaka Alam - Life,523.19,,Jakarta,523.19,,,,<David Bergamini>,<Pengetahuan Dewasa>,<T701761>
Alam dan Margasatwa Erasia,asia,Text,,,,Tira Pustaka,1985,,Pustaka Alam - Life,523.15,,Jakarta,523.15,,,,<Francois Bourliere>,<Pengetahuan Dewasa>,<T701759>
Alam Sekitar,itar,Text,,,,Bhuana Ilmu Populer,2009,,Ensiklopedia Junior,803,,Jakarta,803,,,,<Emilie Beaumont>,<Pengetahuan Dewasa>,<T702109>
Alat Transportasi 2,si 2,Text,,,,Elex Media Komputindo,2002,,Seri Tanya Jawab,388.34,,Jakarta,388.34,,,,<Philip Brooks >,<Pengetahuan Anak>,<T703197>
Albert Einstein,tein,Text,,,,Elex Media Komputindo,,,Seri Tokoh Dunia,926,,,926,,,,<Team Elex>,<Pengetahuan Anak>,<T700368>
Albert Einstein,tein,Text,,,,Elex Media Komputindo,2009,,Seri Tokoh Dunia,926,,Jakarta,926,,,,<Jhen Fe Jau>,<Pengetahuan Anak>,<T702833>
Albert Einstein - c2,#VALUE!,Text,,,,Elex Media Komputindo,1996,,Seri Tokoh Dunia,925,,Jakarta,925,,,,<Jhen Fe Jau>,<Pengetahuan Anak>,<T702220>
Albert Einstien & Relativitas,itas,Text,,,,Quality Press,,,Seri Penemuan Ilmiah,925,,,925,,,,<Steven Parker>,<Pengetahuan Anak>,<T700166>
Albert Schweitzer,tzer,Text,,,,Elex Media Komputindo,2006,,Seri Tokoh Dunia,925,,Jakarta,925,,,,<Klara Siauw>,<Pengetahuan Anak>,<T700380>
Albert Schweitzer,tzer,Text,,,,Elex Media Komputindo,2008,,Seri Tokoh Dunia,925,,Jakarta,925,,,,<Cho Heng Ye>,<Pengetahuan Anak>,<T702822>
Alexander Agung,gung,Text,,,,Pustaka Lebah,2008,,Great Classic Collections,741.3,,Jakarta,741.3,,,,<Tim Penulis>,<Cerita Anak>,<T702999>
Alexander Graham Bell,Bell,Text,,,,Elex Media Komputindo,,,Seri Tokoh Dunia,926,,,926,,,,<Team Elex>,<Pengetahuan Anak>,<T700370>
Alexander Graham Bell,Bell,Text,,,,Elex Media Komputindo,2002,,Seri Tokoh Ternama,926,,Jakarta,926,,,,<Emma Fischel >,<Pengetahuan Anak>,<T704253>
Alexander Graham Bell - c2,#VALUE!,Text,,,,Elex Media Komputindo,2007,,Seri Tokoh Dunia,926,,Jakarta,926,,,,<Animik World>,<Pengetahuan Anak>,<T700687>
Alexander Graham Bell - c3,#VALUE!,Text,,,,Elex Media Komputindo,2007,,Seri Tokoh Dunia,926,,Jakarta,926,,,,<Animik World>,<Pengetahuan Anak>,<T700688>
Alexander Graham Bell & Telepon,epon,Text,,,,Quality Press,,,Seri Penemuan Ilmiah,925,,,925,,,,<Steven Parker>,<Pengetahuan Anak>,<T700167>
Alexander The Great,reat,Text,,,,Elex Media Komputindo,2007,,Seri Tokoh Dunia,922,,Jakarta,922,,,,<Comic Tribe>,<Pengetahuan Anak>,<T700691>
Alexander The Great,reat,Text,,,,Elex Media Komputindo,2006,,Seri Tokoh Dunia,923,,Jakarta,923,,,,<Comic Tribe>,<Pengetahuan Anak>,<T702900>
Alexander The Great - c2,#VALUE!,Text,,,,Elex Media Komputindo,2007,,Seri Tokoh Dunia,922,,Jakarta,922,,,,<Comic Tribe>,<Pengetahuan Anak>,<T700692>
Alfred Bernhard Nobel,obel,Text,,,,Elex Media Komputindo,,,Seri Tokoh Dunia,926,,,926,,,,<Team Elex>,<Pengetahuan Anak>,<T700364>
Alfred Bernhard Nobel,obel,Text,,,,Elex Media Komputindo,2008,,Seri Tokoh Dunia,926,,Jakarta,926,,,,<Tan Fe Jau>,<Pengetahuan Anak>,<T702828>
Alfred yang Agung,gung,Text,,,,Elex Media Komputindo,2002,,Seri Tokoh Ternama,922,,Jakarta,922,,,,<Andrew Matthews >,<Pengetahuan Anak>,<T704618>
Algoritma dan Struktur Data Bahasa C,sa C,Text,,,,Mitra Wacana Media,2009,,Computer Book,5,,Jakarta,5,,,,<Thompson Susabda Ngoen>,<Umum>,<T702668>
Ali Baba,Baba,Text,,,,Pelangi Sdn. Bhd.,,,Pelangi's Little Book Series,823,,Malaysia,823,,,,<Nuora Edibimbi>,<Cerita Anak>,<T701953>
Ali Baba dan 40 Penyamun,amun,Text,,,,Bhuana Ilmu Populer,2009,,Dongeng Animasi,823,,Jakarta,823,,,,<Tim Penulis >,<Cerita Anak>,<T704164>
Alibaba dan 40 Penyamun,amun,Text,,,,Elex Media Komputindo,1991,,Buku Dongeng Anak-Anak Bergambar,892.7,,Jakarta,892.7,,,,<Shogo Hirata>,<Cerita Anak>,<T701822>
Alice di Negeri Ajaib,jaib,Text,,,,Binarupa Aksara,,,Buku Cerita Dengan Gambar Tempel,823,,,823,,,,<Esther S. Mandjani>,<Cerita Anak>,<T700103>
Alice di Negeri Ajaib,jaib,Text,,,,Elex Media Komputindo,1993,,Buku Dongeng Anak-Anak Bergambar,823,,Jakarta,823,,,,<Shogo Hirata>,<Cerita Anak>,<T701836>
Alice in Wonderland,land,Text,,,,Gramedia Pustaka Utama,2006,,Seri Pustaka Kecil Edisi Bhs Inggris,823,,Jakarta,823,,,,<Teddy Slater>,<Cerita Anak>,<T701956>
Alice The Brace ( Alice Sang Pemberani ),ni ),Text,,,,Gramedia Pustaka Utama,2007,,Alice,823,,Jakarta,823,,,,<Phyllis Reynolds Naylor>,<Cerita Dewasa>,<T701162>
Alice The Brace ( Alice Sang Pemberani ) - c2,#VALUE!,Text,,,,Gramedia Pustaka Utama,2007,,Alice,823,,Jakarta,823,,,,<Phyllis Reynolds Naylor>,<Cerita Dewasa>,<T701163>
Alien Street 2,et 2,Text,,,,Elex Media Komputindo,2000,,Komik,741.3,,Jakarta,741.3,,,,<Minako Narita>,<Komik Bergambar>,<T702460>
Allosaurus Si Gigi Gergaji,gaji,Text,,,,Bestari Kids,2010,,Seri Pengenalan Dinosaurus,567,,Jakarta,567,,,,<Hasna Nelfia >,<Pengetahuan Anak>,<T704141>
"Alpin, Penyanyi Dua Minggu ",ggu ,Text,,,,Gramedia Widiasarana Indonesia,2001,,Kumpulan Dongeng Nina Bobok,823,,Jakarta,823,,,,<Endratni Haryadi >,<Cerita Anak>,<T703206>
Aluminium Si Logam Ringan,ngan,Text,,,,Bestari Kids,2010,,Seri Sains Logam,669,,Jakarta,669,,,,<Koko Nata>< Dedi Fadilah >,<Pengetahuan Anak>,<T704265>
Amber and the Hot Pepper Jelly,elly,Text,,,,Gramedia Pustaka Utama,2008,,Novel,813,,Jakarta,813,,,,<Karen McCombie>,<Novel / Fiksi>,<T702680>
Amerika Mengenal Ragam Budaya Dan Geografi,rafi,Text,,,,Tiga Serangkai,2007,,Perjalanan Wisata,917.3,,Solo,917.3,,,,<Elaine Jackson>,<Pengetahuan Anak>,<T700861>
Amerika Mengenal Ragam Budaya Dan Geografi - c2,#VALUE!,Text,,,,Tiga Serangkai,2007,,Perjalanan Wisata,917.3,,Solo,917.3,,,,<Elaine Jackson>,<Pengetahuan Anak>,<T700862>
Amerika Mengenal Ragam Budaya Dan Geografi - c3,#VALUE!,Text,,,,Tiga Serangkai,2007,,Perjalanan Wisata,917.3,,Solo,917.3,,,,<Elaine Jackson>,<Pengetahuan Anak>,<T700863>
Amerika Mengenal Ragam Budaya Dan Geografi - c4,#VALUE!,Text,,,,Tiga Serangkai,2007,,Perjalanan Wisata,917.3,,Solo,917.3,,,,<Elaine Jackson>,<Pengetahuan Anak>,<T700864>
Amerika Mengenal Ragam Budaya Dan Geografi - c5,#VALUE!,Text,,,,Tiga Serangkai,2007,,Perjalanan Wisata,917.3,,Solo,917.3,,,,<Elaine Jackson>,<Pengetahuan Anak>,<T700865>
Amerika Mengenal Ragam Budaya Dan Geografi - c6,#VALUE!,Text,,,,Tiga Serangkai,2007,,Perjalanan Wisata,917.3,,Solo,917.3,,,,<Elaine Jackson>,<Pengetahuan Anak>,<T700866>
Amerika Mengenal Ragam Budaya Dan Geografi - c7,#VALUE!,Text,,,,Tiga Serangkai,2007,,Perjalanan Wisata,917.3,,Solo,917.3,,,,<Elaine Jackson>,<Pengetahuan Anak>,<T700867>
Anak Binatang,tang,Text,,,,Sygma Publishing,2009,,My 1st Questions & Answers,590,,Bandung,590,,,,<Tim XACT >,<Pengetahuan Anak>,<T703660>
Anak Binatang,tang,Text,,,,Tiga Serangkai,,,Dunia Ajaib,590,,Solo,590,,,,<Mary Novick >,<Pengetahuan Anak>,<T704383>
Anak Binatang,tang,Text,,,,Tiga Serangkai,2009,,Dunia Ajaib,590,,Solo,590,,,,<Mary Novick >,<Pengetahuan Anak>,<T704539>
Anak Dalam Cermin,rmin,Text,,,,Gramedia Pustaka Utama,2007,,Seri Kumbang,813,,Jakarta,813,,,,<Enid Blyton>,<Cerita Anak>,<T700592>
Anak Desa Menggapai Cita,Cita,Text,,,,Lembaga Literatur Baptis,1993,,Novelet Anak-anak,248,,Bandung,248,,,,<Panus HS>,<Novel / Fiksi>,<T703904>
Anak Itik Yang buruk Rupa,Rupa,Text,,,,Quality Press,,,Seri Tarantula,823,,,823,,,,<Judy Hamilton>,<Cerita Anak>,<T700295>
Anak Itik yang Buruk Rupa,Rupa,Text,,,,Elex Media Komputindo,1991,,Buku Dongeng Anak-Anak Bergambar,823,,Jakarta,823,,,,<Shogo Hirata>,<Cerita Anak>,<T701817>
Anak Jujur,ujur,Text,,,,Tiga Serangkai,2008,,Aku Anak Muslim,813,,Solo,813,,,,<Ali Muakhir>,<Cerita Anak>,<T701399>
Anak Kelinci,inci,Text,,,,Mandira Jaya Abadi,2001,,Melihat Mereka Tumbuh,599,,Semarang,599,,,,<Barrie Watts>,<Pengetahuan Anak>,<T704087>
Anak Konyol,nyol,Text,,,,Bintang Indonesia,,,Tebak-tebakan,817,,Jakarta,817,,,,<Elga Aphrodita >,<Pengetahuan Anak>,<T704534>
Anak Kucing,cing,Text,,,,Mandira Jaya Abadi,2001,,Melihat Mereka Tumbuh,599,,Semarang,599,,,,<Jane Burton >,<Pengetahuan Anak>,<T704088>
Anak Laki-laki di Balik Jendela (Boy at the Window),dow),Text,,,,Indeks,2011,,Kesehatan Emosi,152.4,,Jakarta,152.4,,,,<Joy Cowley >,<Cerita Anak>,<T704653>
Anak Pemaaf,maaf,Text,,,,Tiga Serangkai,2008,,Aku Anak Muslim,813,,Solo,813,,,,<Ali Muakhir>,<Cerita Anak>,<T701402>
Anak Pemaaf,maaf,Text,,,,Tiga Serangkai,2008,,Aku Anak Muslim,813,,Solo,813,,,,<Ali Muakhir>,<Cerita Anak>,<T702696>
Anak Penolong,long,Text,,,,Tiga Serangkai,2008,,Aku Anak Muslim,813,,Solo,813,,,,<Ali Muakhir >,<Cerita Anak>,<T704436>
Anak Sabar,abar,Text,,,,Tiga Serangkai,2008,,Aku Anak Muslim,813,,Solo,813,,,,<Ali Muakhir>,<Cerita Anak>,<T702700>
Anak Santun,ntun,Text,,,,Tiga Serangkai,2008,,Aku Anak Muslim,813,,Solo,813,,,,<Ali Muakhir>,<Cerita Anak>,<T701397>
Anak Santun,ntun,Text,,,,Tiga Serangkai,2008,,Aku Anak Muslim,813,,Solo,813,,,,<Ali Muakhir>,<Cerita Anak>,<T702694>
Anak Siapakah Ini?,Ini?,Text,,,,Immanuel,2000,,Buku Rohani,248,,Jakarta,248,,,,<Bill Wilson >,<Buku Rohani>,<T703857>
Anak Tani,Tani,Text,,,,Bpk Gunung Mulia,2006,,Seri Rumah Kecil,929,,Jakarta,929,,,,<Laura Ingalls Wilder>,<Cerita Dewasa>,<T701091>
Anak Tani - c2,#VALUE!,Text,,,,Bpk Gunung Mulia,2006,,Seri Rumah Kecil,929,,Jakarta,929,,,,<Laura Ingalls Wilder>,<Cerita Dewasa>,<T701092>
Anak Tikus yang Ingin Menjadi Raja,Raja,Text,,,,Libri,2011,,Seri Semut,813,,Jakarta,813,,,,<Nana Ruslana >,<Cerita Anak>,<T704694>
Anak Top, Top,Text,,,,Bintang Indonesia,,,Tebak-tebakan,817,,Jakarta,817,,,,<Elga Aphrodita >,<Pengetahuan Anak>,<T704535>
Anak Yang Suka Berteriak 'Serigala',ala',Text,,,,Quality Press,,,Seri Tarantula,823,,,823,,,,<Judy Hamilton>,<Cerita Anak>,<T700308>
Anakku Dipanggil Pulang ke Sorga,orga,Text,,,,BPK Gunung Mulia,2000,,Seri Kesaksian,248,,Jakarta,248,,,,<Gerry Kasih >,<Buku Rohani>,<T703880>
Ande-Ande Lumut,umut,Text,,,,Elex Media Merchandising,1999,,Cerita Asli Indonesia,398,,Jakarta,398,,,,<Tim Penulis            >,<Cerita Anak>,<T702001>
Aneka Jajanan Pasar Populer,uler,Text,,,,Demedia,2010,,Pastry Trendy,641.5,,Jakarta,641.5,,,,<Tim Penulis >,<Masak-kue>,<T704313>
Aneka Jus Berkhasiat Favorit,orit,Text,,,,CAM,2009,,Aneka Jus,641.8,,Bekasi,641.8,,,,<Cam Boga>,<Masak-minuman>,<T702193>
Aneka Kreasi Anyaman Sederhana dari Tali Satin,atin,Text,,,,Gramedia Pustaka Utama,2007,,Kreatifitas,745.5,,Jakarta,745.5,,,,<Olga Jusuf >,<Aktivitas - Umum>,<T703969>
Aneka Kreasi Dari Pita Jepang,pang,Text,,,,Gramedia Pustaka Utama,2007,,Kreatifitas,745.5,,Jakarta,745.5,,,,<Olga Jusuf >,<Aktivitas - Umum>,<T703972>
Aneka Lumpia & Risoles,oles,Text,,,,Gramedia Pustaka Utama,2007,,Seri Usaha Boga,641.8,,Jakarta,641.8,,,,<Sufi S. Y>,<Masak-kue>,<T700480>
Aneka Masakan Ayam untuk Keluarga & Usaha,saha,Text,,,,Demedia,2010,,Bakul Kuliner Populer,641.6,,Jakarta,641.6,,,,<Tim Penulis >,<Masak-makanan>,<T704297>
Aneka Masakan dari Sayur,ayur,Text,,,,Media Boga Utama,2007,,Kumpulan Resep Khusus Pemula,641.5,,Jakarta,641.5,,,,<Koes Sabandiyah>,<Masak-makanan>,<T700503>
Aneka Masakan Ikan Nusantara,tara,Text,,,,Demedia,2009,,Cita Rasa Nusantara,641.8,,Jakarta,641.8,,,,<Tim Dapur Demedia >,<Masak-makanan>,<T703155>
Aneka Masakan Ikan Nusantara,tara,Text,,,,Demedia,2009,,Cita Rasa Nusantara,641.8,,Jakarta,641.8,,,,<Tim Penulis >,<Masak-makanan>,<T704312>
Aneka Masakan Jawa,Jawa,Text,,,,Demedia,2008,,Cita Rasa Nusantara,641.5,,Jakarta,641.5,,,,<Tim Dapur Demedia >,<Masak-makanan>,<T703156>
Aneka Masakan Manado,nado,Text,,,,DeMedia Pustaka,2008,,Cita Rasa Nusantara,641.5,,Jakarta,641.5,,,,<Tim Penulis                     >,<Masak-makanan>,<T702190>
Aneka Masakan Sunda,unda,Text,,,,DeMedia Pustaka,2008,,Cita rasa Nusantara,641.7,,Jakarta,641.7,,,,<Tim Dapur DeMedia>,<Masak-makanan>,<T700653>
Aneka Mochi,ochi,Text,,,,Gramedia Pustaka Utama,2008,,Step By Step,641.8,,Jakarta,641.8,,,,<Sisca Susanto >,<Masak-kue>,<T703835>
Aneka Model,odel,Text,,,,Grasindo,1999,,Seni Melipat Kertas,372.5,,Jakarta,372.5,,,,<Miyoko Alam>,<Aktivitas - Umum>,<T702490>
Aneka Olahan Roti,Roti,Text,,,,Dian Digtal Media,,,Seri Memasak untuk Pemula,641.8,,Jakarta,641.8,,,,<Tim Penulis>,<Masak-kue>,<T701579>
Aneka Pepes Populer,uler,Text,,,,DeMedia Pustaka,2008,,Bakul Kuliner Populer,641.7,,Jakarta,641.7,,,,<Tim Dapur DeMedia>,<Masak-makanan>,<T700656>
Aneka Sambal Nusantara,tara,Text,,,,Demedia,2008,,Cita Rasa Nusantara,641.6,,Jakarta,641.6,,,,<Tim Dapur Demedia >,<Masak-makanan>,<T703157>
Aneka Sate Nusantara,tara,Text,,,,Demedia,2008,,Cita Rasa Nusantara,641.7,,Jakarta,641.7,,,,<Tim Dapur Demedia >,<Masak-makanan>,<T703158>
Aneka Snack Favorit,orit,Text,,,,CAM,2009,,Aneka Snack,641.8,,Bekasi,641.8,,,,<Cam Boga>,<Masak-kue>,<T702194>
Aneka Soto Nusantara,tara,Text,,,,Kawan Pustaka,2007,,-,641,,Jakarta,641,,,,<Yuni Pradata>,<Masak-makanan>,<T700497>
Anggota Tubuh,ubuh,Text,,,,Sygma Publishing,2009,,My 1st Questions & Answers,611,,Bandung,611,,,,<Tim XACT>,<Pengetahuan Anak>,<T703103>
Anggota Tubuh,ubuh,Text,,,,Sygma Publishing,2009,,My 1st Questions & Answers,611,,Bandung,611,,,,<Tim XACT >,<Pengetahuan Anak>,<T703663>
Angin,ngin,Text,,,,Elex Media Komputindo,2009,,Cerita Sains,551.5,,Jakarta,551.5,,,,<Sylvia Tanuadji>,<Cerita Anak>,<T702541>
Angka,ngka,Text,,,,Quality Press,1996,,Tinggal Landas Bersama,823,,Jakarta,823,,,,<Sally Hewitt>,<Pengetahuan Anak>,<T701610>
Angka,ngka,Text,,,,Tiga Serangkai,,,Dunia Ajaib,153.3,,Solo,153.3,,,,<Mary Novick >,<Pengetahuan Anak>,<T704385>
Angka 1-20 Indonesia-Inggris,gris,Text,,,,Wahyu Media,2009,,Mengenal dan Mewarnai,400.42,,Jakarta,400.42,,,,<Tim Kreatif Wahyu Media>,<Aktivitas Anak>,<T702565>
Angka Genap,enap,Text,,,,PT. Buana Ilmu Populer,-,,Jika Kamu Menjadi,,,Jakarta,,,,,<Sheilla Karmelita>,<Pengetahuan Anak>,<T704933>
Angklung,lung,Text,,,,Elex Media Komputindo,2007,,Seri Pusata Nusantara,789,,Jakarta,789,,,,<Aylawati Sarwono>,<Pengetahuan Anak>,<T700507>
Angklung,lung,Text,,,,Elex Media Komputindo,2007,,Seri Pustaka Nusantara,789,,Jakarta,789,,,,<Aylawati Sarwono>,<Pengetahuan Anak>,<T702811>
